category,filename,ground_truth,detected,fusion_score,fusion_mode,ai_specific,broadcast_trap,high_score_override,zv_count,zv_lower_third_roi_count,of_count,of_max_area_ratio,iw_best_similarity,iw_matched,flux_found,flux_similarity,flux_similarity_std,flux_method,ai_style_prob,ai_style_detected,flux_fft_score,fft_bonus,flux_combined,tc_score,tc_detected,tc_frame_diff_variance,tc_of_smoothness,tc_luminance_temporal_std,tc_bonus,fft_score,of_texture_variance_mean,of_low_texture_roi_count,of_wide_lower_roi_count,of_corner_compact_roi_count,of_lower_third_roi_ratio,of_upper_third_roi_ratio,of_center_roi_ratio,of_wide_top_bottom_count,broadcast_scoreboard_trap,broadcast_billboard_trap,broadcast_pattern_trap,broadcast_lower_third_pattern,broadcast_scoreboard_pattern,broadcast_billboard_pattern,freq_hf_ratio_mean,c2pa_found,c2pa_ai,c2pa_generator,duration_s
ai_baseline,1PaoWKvcJP0_Sound on for Sora 2.mp4,1,1,11.0,ai_score=11;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=1;ai_style_prob=0.61;flux_fft_score=0;fft_bonus=0;tc_score=3;tc_bonus=2;flux_soft_override=1,1,0,0,0,0,4,0.001036,0.5,,1,0.6074341956008548,0.0,clip+fft,0.6074341956008548,1,0,0,1,3,1,1.8474279764710033e-07,6.568349689377325,0.23522876988421598,2,0.0,0.4643,4,0,3,0.0,1.0,0.0,0,0,0,0,0,0,0,0.4238,0,0,,15.05
ai_baseline,1ugUllz4wCs_PIKA AI Video Generator Unveils PikaSwap VFX Animation.mp4,1,0,2.0,ai_score=2;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=0;ai_style_prob=0.46;flux_fft_score=0;fft_bonus=0;tc_score=2;tc_bonus=0;soft_threshold_min=4,1,0,0,0,0,17,0.024778,0.5,,0,0.46161520887641927,0.0,clip+fft,0.46161520887641927,0,0,0,0,2,1,1.4810831064179536e-06,1.695375914185216,0.17794412888777464,0,0.0,240.9927,13,0,7,0.2941,0.4706,0.2353,0,0,0,1,0,1,0,0.5722,0,0,,41.71
ai_baseline,3j5Mo15RmS0_Luma AI - Introducing Modify Video.mp4,1,1,7.0,ai_score=7;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=0;ai_style_prob=0.59;flux_fft_score=0;fft_bonus=0;tc_score=1;tc_bonus=1,1,0,0,0,0,11,0.001963,0.5,,0,0.5868844757775259,0.0,clip+fft,0.5868844757775259,1,0,0,0,1,0,0.010433109420155028,2.375256903914582,53.448071311105245,1,0.0,3.8435,11,0,5,0.0,1.0,0.0,0,0,0,0,0,0,0,0.5498,0,0,,8.21
ai_baseline,3UxOPczjKl0_The Shadow ｜ AI Short Film ｜ Runway Gen3.mp4,1,1,8.0,ai_score=8;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=1;ai_style_prob=0.62;flux_fft_score=0;fft_bonus=0;tc_score=3;tc_bonus=2,1,0,0,0,0,28,0.095188,0.0,,1,0.6152204144464136,0.0,clip+fft,0.6152204144464136,1,0,0,1,3,1,2.5983209843089038e-09,4.092538378615079,0.07394755486840694,2,0.0,260.9485,22,0,8,0.4286,0.25,0.3214,0,0,0,1,0,1,0,0.4712,0,0,,6.36
ai_baseline,76bo8tbXREk_Turn Scripts into Animated Explainer Videos with One Click!.mp4,1,1,6.0,ai_score=6;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=0;ai_style_prob=0.46;flux_fft_score=0;fft_bonus=0;tc_score=3;tc_bonus=0;soft_threshold_min=4,1,0,0,0,0,9,0.004434,0.5,,0,0.4626923246773256,0.0,clip+fft,0.4626923246773256,0,0,0,0,3,1,0.00019953956806339324,3.0509278599559826,5.536952192030976,0,0.0,31.4803,7,0,4,0.2222,0.7778,0.0,0,0,0,0,0,0,0,0.5282,0,0,,14.44
ai_baseline,"a_cat_walking_in_a_park,_cinematic_seed2150790991.mp4",1,1,10.0,ai_score=10;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=1;ai_style_prob=0.76;flux_fft_score=0;fft_bonus=0;tc_score=2;tc_bonus=2;flux_soft_override=1,1,0,0,0,0,8,0.007561,0.5,,1,0.7621040454675252,0.0,clip+fft,0.7621040454675252,1,0,0,1,2,1,6.1887883845621835e-06,1.174717160092432,6.2199410219291975,2,0.0,38.1681,6,0,3,0.25,0.25,0.5,0,0,0,0,0,0,0,0.4736,0,0,,1.73
ai_baseline,"A_dragon_flying_over_a_fantasy_castle,_highly_detailed,_cinematic_VFX,_dramatic_lighting_seed3708616898.mp4",1,1,9.0,ai_score=9;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=1;ai_style_prob=0.71;flux_fft_score=0;fft_bonus=0;tc_score=2;tc_bonus=2;flux_soft_override=1,1,0,0,0,0,14,0.007334,0.5,,1,0.7121543049677038,0.0,clip+fft,0.7121543049677038,1,0,0,1,2,1,2.6920774073150352e-05,1.1825590301318294,5.304149745746331,2,0.0,71.9646,11,0,4,0.3571,0.2143,0.4286,0,0,0,0,0,0,0,0.516,0,0,,1.52
ai_baseline,"A_person_running_through_a_rainy_street_at_night,_motion_blur,_neon_reflections,_cinematic_seed2919283241.mp4",1,1,6.0,ai_score=6;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=1;ai_style_prob=0.71;flux_fft_score=0;fft_bonus=0;tc_score=1;tc_bonus=1,1,0,0,1,0,3,0.085494,0.5,,1,0.7143169028334145,0.0,clip+fft,0.7143169028334145,1,0,0,1,1,0,0.00013593577070510006,2.3379116563403697,8.395283513757583,1,0.0,1523.8906,0,0,2,0.0,1.0,0.0,0,0,0,1,0,1,0,0.4721,0,0,,1.83
ai_baseline,AbEQv_1hfqs_＂Water＂4k AI short film Runway Gen3.mp4,1,1,10.0,ai_score=10;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=1;ai_style_prob=0.75;flux_fft_score=0;fft_bonus=0;tc_score=2;tc_bonus=2;flux_soft_override=1,1,0,0,0,0,14,0.065032,0.5,,1,0.7510563523835792,0.0,clip+fft,0.7510563523835792,1,0,0,1,2,1,5.392614685256364e-06,0.7645833153319107,2.711885074280493,2,0.0,62.0776,11,0,6,0.6429,0.3571,0.0,0,0,0,0,0,0,0,0.3747,0,0,,6.53
ai_baseline,"Abstract_fluid_simulation,_neon_colors_morphing_into_each_other,_seamless_loop,_4K_seed1171828005.mp4",1,1,9.0,ai_score=9;ai_specific=1;lower_third_ok=1;lower_third_effective=1;c2pa_ai=0;flux=1;ai_style_prob=0.73;flux_fft_score=0;fft_bonus=0;tc_score=1;tc_bonus=1;flux_soft_override=1,1,0,0,0,0,5,0.002219,0.5,,1,0.7324637213729845,0.0,clip+fft,0.7324637213729845,1,0,0,1,1,0,0.0003776969775423622,0.8289006507561153,10.187461563323554,1,0.0,15.9508,4,0,2,0.0,0.6,0.4,0,0,0,0,0,0,0,0.4691,0,0,,1.48
